nbl,xho
"kungavikelwa bunjani ukuba sidisi kwelutjha vukuzenzele unnamed kuneendlela ezi hlukileko zoku vikela ukuba sidisi kwamatlawana, ezifaka hlangana ukukhetha ukungayi emse meni ukufikela lapho wenda khona namkha nasele ukulungele ukuba nabentwana.
","kunganqandwa njani ukukhulelwa kwamantombazana afikisayo vukuzenzele unnamed zikhona iindle la zokunqanda ukukhulelwa kwamantombazana afikisayo, eziquka ukukhetha ukungabelani ngesondo ude ube utshatile okanye ukulungele ukuba naba ntwana.
"
"abanye abantu badlumbana bona ukuzithiba (ukukhetha ukungayi emsemeni ukufikela lapho benda khona) kusikade, kantike abanye bayakwenyula njengendlela engcono etjengisa ukuziphatha kuhle.
","abanye abantu bacinga ukuzila ukwabelana ngesondo (ukukhetha ukungabelani ngesondo ude ube utshatile) yindlela yakudala, ngelixa abanye becinga ukuba yeyona ndlela ilungileyo yokuziphatha.
"
"nanyana kunjalo, kufuze amatlawana azithathele isiquntweso ngokwawo.
","amantombazana afikisayo, ngoko ke, kufuneka azithathele ngokwawo isigqibo.
"
"abantu abanengi abafuni ukulinda ukungena emtjhadweni ngaphambi kokuya emsemeni.
","uninzi lwabantu alufuni kulinda lude lutshate phambi kokuba lwabelane ngesondo.
"
"abafuni godu ukurhabela izinto ngalokhoke bagcine sebenze iimphoso ezikulu.
","kwakhona alufuni kungxama ukwenza nantoni na luze lwenze iimpazamo ezinkulu.
"
"kanengi vane baqunte ngokuriyadisa ukuya emsemeni bebabe bakhulu, bakghone ukuziphendulela, babe nobudlelwano bezethando obunzinzileko nomlingani munye begodu nasele basebenza, kuyinto engcono khulu.
","ngamanye amaxesha bathatha isigqibo sokucinga ukuba yeyona nto ingcono ukulibazisa ukuzibandakanya kwezesondo bade babe badala ngokwaneleyo, futhi bangabantu abayaziyo into abayifunayo, umntu athandane nomntu omnye aqinisekileyo ngaye kwaye abe uyaphangela.
"
"nawukhetha ukuzithiba namkha ukuriyadisa ukuya emsemeni, kunezinye izinto ongazenza ukuzivikela: khetha ngokuyelela aba ntu ofuna babe bangani bakho.
","ukuba ukhetha ukuzila okanye ukulibazisa ukwabelana ngesondo, zikhona ezinye izinto onokuzenza ukuzikhusela: bakhethe ngononophelo abahlobo bakho.
"
"kufuze abangani bakufisele okuhle ngaso soke isikhathi begodu kufuze bahloniphe isiqunto sakho sokungayi emsemeni.
","abahlobo kufuneka bakuqwenelele okukulungeleyo kwaye kufuneka basihloniphe isigqibo sakho sokunga belani ngesondo.
"
"yelela ubujamo obungaba ngobungakaphephi, nje ngabangani abaselako namkha abasebenzisa iindakamizwa, oku ngadosela ekutheni uye emsemeni ngendlela engakaphephi.
","lumkela ukuzifaka kwiimeko ezingakhuselekanga, njengabahlobo abasela utywala okanye abasebenzisa iziyobisi kuba oku kungakhokelela ekubeni kwabelanwe ngesondo ngokungakhuselekanga.
"
"khambela kude nomli ngani okukatelela bona ukuya naye emsemeni ku sitjengiso sethando lakho.
","walumkele amaqabane athi ukuba uyawathanda uza kulala nawo.
"
"lalela bewufunde kilabo ababasidisi basese matlawana.
","mamela uze ufunde kwabo bathe bakhulelwa besaqala ukufikisa.
"
"bayazazi iimphoso zabo neenkhisi abarhohlomela kizo.
","bayazazi ii mpazamo kunye nezithi ntelo.
"
"lalela ababelethi bakho begodu ufunde emlandweni wamaphilo wabo nabasakhulako.
","mamela uze ufunde kubazali bakho ngamava obomi.
"
