afr,xho
"tapvirstap gids vir die gebruik van gesigmaskers vukuzenzele unnamed die nasionale departement van gesondheid beveel aan dat almal in suidafrika n materiaalgesigmasker (ook genoem n niemediese masker) dra wanneer hulle in die openbaar is.
","isikhokelo senyathelo ngenyathelo lokusetyenziswa kwezigqubuthelobuso (iimaski) vukuzenzele unnamed isebe lesizwe lezempilo licebisa ukuba wonke umntu emzantsi afri ka ufanele ukuba anxibe isigqubuthelobuso enziwe ngelaphu (ekwaziwa ngokuba yimaski engasetyenziswa kwezonyango) xa ephakathi koluntu.
"
"pendelaars wat taxi's en ander vorme van openbare vervoer gebruik, asook mense wat tyd op plekke deurbring waar dit moeilik is om jou fisies van ander mense te distansieer, word veral aangemoedig om gesigmaskers te dra.
","abakhweli beeteksi nezinye iintlobo zezithu thi zikawonkewonke, ngokunjalo nabantu abachitha ixesha bekwiindawo ekunzima kuzo ukungaso ndelelani, banyanzelwa ngakumbi ukuba banxibe izigqubuthelobuso ezenziwe ngelaphu.
"
"die hoofvoordeel wanneer almal n gesigmasker dra, is dat dit die hoeveelheid koronavirus (covid19) druppels wat deur mense wat die virus het, uitgehoes word, verminder, wat dus die verspreiding deur druppels beperk.
","inzuzo ephambili yomntu wonke onxiba imaski isigqubuthelobuso kukucutheka kobungakanani bentsholongwane icorona (icovid19) ekhohlelwa ngabantu abosulelekileyo ukuze kuncitshiswe ukusasazeka kwayo ngamathontsana.
"
"almal behoort n gesigmasker te dra, aangesien sommige mense, wat die koronavirus het, nie simptome het nie of nie weet dat hulle die virus het nie.
","njengoko abanye babantu abanentsholongwane icorona besenokungabi nazimpawu okanye besenokungayazi ukuba bosulelekile, wonke umntu makanxibe isigqubuthelobuso.
"
"asemhalingshigiëne vir die dra van materiaalgesigmaskers materiaalgesigmaskers word as deel van asemhalingshigiëne of reëls aanbeveel, wat onder meer bepaal dat jy in jou gebuigde elmboog of n snesie moet hoes of nies.
","ucoceko lomjelo wokuphefumla ngesigqubuthelobuso selaphukucetyiswa ukuba izigqubuthelobuso zelaphu zisetyenziswe njengenxa lenye yococeko lomjelo wokuphefumla okanye njengemimiselo yokuziphatha equka ukukhohlelela nokuthimlela engqinibeni egotyiweyo okanye kwiphetshana lokosula impumlo.
"
"die gesigmasker moet die neus en mond heeltemal bedek.
","isigqubuthelobuso mayigqume impumlo nomlomo ngokupheleleyo.
"
"gesigmaskers behoort nie afgehaal te word wanneer daar gepraat, gehoes of genies word nie.
","isigqubuthelobuso akufanelanga ukuba zehliselwe ezantsi xa kuthethwa, kukhohlelwa okanye kuthimlwa.
"
"dit is baie belangrik dat materiaalgesigmaskers reg gebruik word.
","kubaluleke kakhulu ukuba izigqubuthelobuso zelaphu zisetyenziswe ngendlela echanekileyo.
"
"die verkeerde gebruik kan daartoe lei dat gebruikers hulself daaraan blootstel om covid19 te versprei.
","ukungasetyenziswa kwazo kakuhle kusenokukhokelela ekubeni abasebenzisi bazibeke emngciphekweni wokusasaza icovid19 .
"
"selfs al dra jy n masker, moet jy steeds: jou hande was sosiale afstand handhaaf onthou om in jou gebuigde elmboog te hoes of te nies nie met ongewaste hande aan jou oë, neus of mond raak nie.
","nokuba unxibe izigqubuthelobuso kusafuneka ukuba: uhlambe izandla zakho ungasondeli kwabanye abantu ukhumbule ukuthimlela nokukhohlelela engqinibeni yakho ukuthintele ukuthinta amehlo akho, impumlo okanye umlomo ngeza ndla ezingacocekanga.
"
